2024-12-03T18:35:32.023+10:00  WARN 22089 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T18:48:00.712+10:00  INFO 22454 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 2
2024-12-03T18:55:57.074+10:00  WARN 22454 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T18:59:15.338+10:00  WARN 23688 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T18:59:18.645+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-03T18:59:18.646+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-03T18:59:18.722+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.DashboardController     : getDashboard(...)
2024-12-03T18:59:18.723+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-03T18:59:20.153+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-03T18:59:20.652+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-03T18:59:22.606+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.StudentController       : showAddStudentForm(...) - personId:1
2024-12-03T18:59:38.886+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.StudentController       : saveStudent(...) - personId:1
2024-12-03T18:59:45.939+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-3] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 4
